build,cpu_cores,gpu_cores,device,gpu_family,width,height,requested,resolved,total_step_ms,stable_ms,substep_ms,readback_ms,snapshot_wall_ms,direct_handoff_ms,cold_compile_ms,state_allocations,speedup_vs_cpu
Release,10,10,Apple M4,Apple9,64,64,CPU,CPU,0.154083000,0.000000000,0.154042000,0.007667000,0.011833000,0.000013500,0.000000000,0,1.000000
Release,10,10,Apple M4,Apple9,64,64,Metal,Metal,0.449333000,0.198625000,0.248583000,0.292291000,0.300292000,0.000074584,0.771041000,30,0.342915
Release,10,10,Apple M4,Apple9,64,64,Automatic,CPU,0.161708000,0.000000000,0.161667000,0.006916000,0.010584000,0.000012666,0.000000000,0,0.952847
Release,10,10,Apple M4,Apple9,128,128,CPU,CPU,0.379417000,0.000000000,0.379417000,0.024042000,0.031791000,0.000012500,0.000000000,0,1.000000
Release,10,10,Apple M4,Apple9,128,128,Metal,Metal,0.445666000,0.197875000,0.246334000,0.273458000,0.283334000,0.000071418,1.043917000,30,0.851348
Release,10,10,Apple M4,Apple9,128,128,Automatic,CPU,0.371500000,0.000000000,0.371416000,0.023750000,0.031541000,0.000012332,0.000000000,0,1.021311
Release,10,10,Apple M4,Apple9,256,256,CPU,CPU,0.749500000,0.000000000,0.749459000,0.103208000,0.128333000,0.000012500,0.000000000,0,1.000000
Release,10,10,Apple M4,Apple9,256,256,Metal,Metal,0.526541000,0.225125000,0.304416000,0.338709000,0.368083000,0.000073250,7.630083000,30,1.423441
Release,10,10,Apple M4,Apple9,256,256,Automatic,Metal,0.523208000,0.221250000,0.299708000,0.360000000,0.388750000,0.000073416,1.163958000,30,1.432509
Release,10,10,Apple M4,Apple9,384,384,CPU,CPU,1.432791000,0.000000000,1.432750000,0.246625000,0.303917000,0.000013500,0.000000000,0,1.000000
Release,10,10,Apple M4,Apple9,384,384,Metal,Metal,0.725459000,0.271584000,0.448708000,0.520666000,0.602958000,0.000077000,2.218708000,30,1.975013
Release,10,10,Apple M4,Apple9,384,384,Automatic,Metal,0.712042000,0.268625000,0.444208000,0.493042000,0.571083000,0.000072250,1.541041000,30,2.012228
Release,10,10,Apple M4,Apple9,512,512,CPU,CPU,2.387917000,0.000000000,2.387917000,0.431500000,0.538125000,0.000014000,0.000000000,0,1.000000
Release,10,10,Apple M4,Apple9,512,512,Metal,Metal,1.113375000,0.361125000,0.741125000,0.899625000,1.023167000,0.000072750,3.683792000,30,2.144755
Release,10,10,Apple M4,Apple9,512,512,Automatic,Metal,1.058000000,0.349458000,0.695166000,0.911709000,1.042375000,0.000071168,2.470875000,30,2.257010
Release,10,10,Apple M4,Apple9,256,512,CPU,CPU,1.264375000,0.000000000,1.264292000,0.211916000,0.258041000,0.000013666,0.000000000,0,1.000000
Release,10,10,Apple M4,Apple9,256,512,Metal,Metal,0.669041000,0.264125000,0.401250000,0.488041000,0.555625000,0.000074500,5.592209000,30,1.889832
Release,10,10,Apple M4,Apple9,256,512,Automatic,Metal,0.655375000,0.250959000,0.403625000,0.429917000,0.493334000,0.000072168,1.381708000,30,1.929239
